team,win_prob,win,season,date,upset_win,upset_loss
DC United,0.7998390842374004,1,1998,1998-08-21,NA,0
Houston Dynamo,0.604134910748703,1,1998,1998-08-21,NA,0
New England Revolution,0.3405985736222596,0,1998,1998-08-21,0,NA
Mutiny,0.2552426340622985,0,1998,1998-08-21,0,NA
New York Red Bulls,0.20016091576259964,0,1998,1998-08-21,0,NA
FC Dallas,0.39586508925129704,0,1998,1998-08-21,0,NA
Los Angeles Galaxy,0.6594014263777404,1,1998,1998-08-21,NA,0
Sporting Kansas City,0.6356293107902954,1,1998,1998-08-22,NA,0
Miami,0.3643706892097046,0,1998,1998-08-22,0,NA
Sporting Kansas City,0.3967588270049753,0,1998,1998-08-25,0,NA
DC United,0.6032411729950247,1,1998,1998-08-25,NA,0
FC Dallas,0.5741425738914524,1,1998,1998-08-28,NA,0
Houston Dynamo,0.6614125884146331,0,1998,1998-08-28,NA,1
Los Angeles Galaxy,0.8017284661440205,0,1998,1998-08-28,NA,1
Mutiny,0.27129227646405596,1,1998,1998-08-28,1,NA
Sporting Kansas City,0.5349965919434564,0,1998,1998-08-28,NA,1
New York Red Bulls,0.4258574261085476,0,1998,1998-08-28,0,NA
Colorado Rapids,0.33858741158536687,1,1998,1998-08-28,1,NA
Columbus Crew,0.1982715338559795,1,1998,1998-08-28,1,NA
DC United,0.728707723535944,0,1998,1998-08-28,NA,1
Chicago Fire,0.4650034080565436,1,1998,1998-08-28,1,NA
Miami,0.7207856350608799,1,1998,1998-08-29,NA,0
New England Revolution,0.2792143649391201,0,1998,1998-08-29,0,NA
Chicago Fire,0.7546219531124205,1,1998,1998-09-01,NA,0
Colorado Rapids,0.6357029653952128,1,1998,1998-09-01,NA,0
Los Angeles Galaxy,0.7939574290005168,1,1998,1998-09-01,NA,0
New York Red Bulls,0.7613667661993175,0,1998,1998-09-01,NA,1
Miami,0.24537804688757947,0,1998,1998-09-01,0,NA
Sporting Kansas City,0.36429703460478724,0,1998,1998-09-01,0,NA
FC Dallas,0.2060425709994832,0,1998,1998-09-01,0,NA
New England Revolution,0.23863323380068246,1,1998,1998-09-01,1,NA
Mutiny,0.6200692605165036,1,1998,1998-09-02,NA,0
Houston Dynamo,0.3799307394834964,0,1998,1998-09-02,0,NA
Miami,0.42172999589400556,0,1998,1998-09-04,0,NA
Sporting Kansas City,0.6850059720887264,1,1998,1998-09-04,NA,0
Los Angeles Galaxy,0.5782700041059945,1,1998,1998-09-04,NA,0
Houston Dynamo,0.3149940279112736,0,1998,1998-09-04,0,NA
Columbus Crew,0.7256256738430336,1,1998,1998-09-05,NA,0
New York Red Bulls,0.27437432615696644,0,1998,1998-09-05,0,NA
Columbus Crew,0.7518753361800022,1,1998,1998-09-08,NA,0
Miami,0.24812466381999776,0,1998,1998-09-08,0,NA
FC Dallas,0.4946166959689683,1,1998,1998-09-09,1,NA
Chicago Fire,0.5053833040310317,0,1998,1998-09-09,NA,1
New England Revolution,0.45948518998413135,1,1998,1998-09-11,1,NA
Columbus Crew,0.5405148100158687,0,1998,1998-09-11,NA,1
Chicago Fire,0.7486708115494064,1,1998,1998-09-12,NA,0
FC Dallas,0.7307825500698704,0,1998,1998-09-12,NA,1
Miami,0.34933902788494026,1,1998,1998-09-12,1,NA
Mutiny,0.5911664128844737,1,1998,1998-09-12,NA,0
Colorado Rapids,0.2513291884505936,0,1998,1998-09-12,0,NA
Houston Dynamo,0.26921744993012964,1,1998,1998-09-12,1,NA
DC United,0.6506609721150598,0,1998,1998-09-12,NA,1
New York Red Bulls,0.4088335871155263,0,1998,1998-09-12,0,NA
Columbus Crew,0.7242683339845957,0,1998,1998-09-15,NA,1
Houston Dynamo,0.3574686138849976,0,1998,1998-09-15,0,NA
New York Red Bulls,0.3789586390959374,0,1998,1998-09-15,0,NA
Colorado Rapids,0.27573166601540433,1,1998,1998-09-15,1,NA
